ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Skill_Standard,Grade_Level
1,Evaluate: -7 + (-4),3,-3,11,-11,D,7.NS.A.1,7
2,Evaluate: 12 - (-5),7,17,-7,-17,B,7.NS.A.1,7
3,Evaluate: (-3) * (-6),-18,18,-9,9,B,7.NS.A.2,7
4,Which integer represents the opposite of 15?,|15|,0,-15,51,C,6.NS.C.6,6
5,Evaluate: -20 / 4,-5,5,-16,-80,A,7.NS.A.2,7
6,Evaluate: 5 + 3 * 4,32,17,12,60,B,6.EE.A.1,6
7,Evaluate: 20 - 8 / 2,6,16,12,10,B,6.EE.A.1,6
8,Evaluate: (6 + 2)^2 - 10,54,6,22,64,A,6.EE.A.1,6
9,Evaluate: 4^2 + 3(5 - 2),19,25,22,27,B,6.EE.A.1,6
10,Evaluate: (10 + 8) / (9 - 6),6,2,18,3,A,6.EE.A.1,6
11,Simplify the fraction: 12/16,3/4,2/3,4/5,4/3,A,4.NF.A.1,4
12,Calculate: 1/3 + 2/5,45724,45976,45703,45731,B,5.NF.A.1,5
13,Calculate: 3/4 * 2/9,45790,45663,13302,27/8,B,5.NF.B.4,5
14,Convert 3/5 to a decimal.,0.35,0.6,0.53,3.5,B,7.NS.A.2,7
15,Evaluate: 2.5 * 0.4,1,0.1,10,0.01,A,6.NS.B.3,6
16,Evaluate 3x + 5 when x = 4.,12,17,27,9,B,6.EE.A.2,6
17,Evaluate 2a - b when a = 5 and b = 3.,4,13,7,10,C,6.EE.A.2,6
18,Evaluate y^2 when y = -5.,-25,25,-10,10,B,6.EE.A.2,6
19,Evaluate x/2 + 7 when x = 10.,12,17,5,9,A,6.EE.A.2,6
20,Evaluate 4(n - 1) when n = 6.,23,20,24,10,B,6.EE.A.2,6
21,Simplify: 3x + 4x,7x^2,12x,7x,7,C,6.EE.A.3,6
22,Simplify: 5a - 2a + 3,3a + 3,6a,3a,6,A,7.EE.A.1,7
23,Simplify: 2y + 5 + 3y - 2,5y + 7,5y + 3,6y + 3,8y,B,7.EE.A.1,7
24,Simplify: 4(x + 2),4x + 2,4x + 6,4x + 8,x + 8,C,6.EE.A.3,6
25,Simplify: 7m - m,7,6m,7m,6,B,7.EE.A.1,7
26,Solve for x: x + 5 = 12,17,60,7,-7,C,6.EE.B.7,6
27,Solve for y: y - 8 = 10,2,18,80,-2,B,6.EE.B.7,6
28,Solve for m: 3m = 21,7,18,63,24,A,6.EE.B.7,6
29,Solve for k: k/4 = 6,24,10,2,1.5,A,6.EE.B.7,6
30,Solve for x: -2x = 10,5,-5,12,8,B,7.EE.B.4,7
31,Solve for x: 2x + 1 = 11,6,5,10,4,B,7.EE.B.4,7
32,Solve for a: 3a - 4 = 17,7,4.33,21,13,A,7.EE.B.4,7
33,Solve for y: y/2 + 3 = 8,22,10,5,11,B,7.EE.B.4,7
34,Solve for b: -4b + 5 = -7,3,-3,0.5,12,A,7.EE.B.4,7
35,Solve for x: 5 = 2x - 5,0,5,10,2.5,B,7.EE.B.4,7
36,Which graph represents x > 3?,Open circle on 3 shaded right,Closed circle on 3 shaded right,Open circle on 3 shaded left,Closed circle on 3 shaded left,A,6.EE.B.8,6
37,Solve: x + 4 < 10,x < 6,x > 6,x < 14,x > 14,A,6.EE.B.8,6
38,Solve: -2x > 8 (Remember to flip the sign!),x > -4,x < -4,x > 4,x < 4,B,7.EE.B.4,7
39,Which value is a solution to 3x <= 12?,5,6,4,10,C,6.EE.B.5,6
40,"Translate: ""A number n is at least 10.""",n > 10,n < 10,n >= 10,n <= 10,C,6.EE.B.8,6
41,Express the ratio 8 : 12 in simplest form.,0.170833333,0.085416667,0.126388889,0.044444444,B,6.RP.A.1,6
42,Solve the proportion: x/5 = 4/10,2,5,8,1,A,7.RP.A.2,7
43,What is 20% of 50?,25,10,5,100,B,6.RP.A.3,6
44,Convert 0.75 to a percentage.,0.0075,0.075,0.75,7.5,C,6.RP.A.3,6
45,A shirt costs $40 and is on sale for 10% off. What is the discount?,10,4,36,30,B,7.RP.A.3,7
46,"In which quadrant is the point (-3, 4) located?",I,II,III,IV,B,6.NS.C.8,6
47,What is the y-intercept of the line y = 2x + 3?,2,3,0,-3,B,8.EE.B.6,8
48,"Calculate the slope between points (1, 2) and (3, 6).",2,4,45659,1,A,8.EE.B.6,8
49,Which ordered pair is a solution to y = x - 2?,"(5, 3)","(5,7)","(2,2)","(0,2)",A,8.F.A.1,8
50,"The point (0, 0) is known as the:",Axis,Intercept,Origin,Ordinate,C,6.NS.C.8,6
51,"Which list shows the numbers in order from least to greatest? -2.5, -4, 0, 1.5","0, 1.5, -2.5, -4","-4, -2.5, 0, 1.5","-2.5, -4, 0, 1.5","1.5, 0, -2.5, -4",B,6.NS.C.7,6
52,What is the absolute value of -18?,-18,0,18,36,C,6.NS.C.7,6
53,Evaluate: -4/5 / 2/3,-0.533333333,-1.2,45813,-0.833333333,B,7.NS.A.2,7
54,Identify the Greatest Common Factor (GCF) of 24 and 36.,6,12,4,72,B,6.NS.B.4,6
55,Which of the following is an irrational number?,sqrt(25),3.14,sqrt(2),45660,C,8.NS.A.1,8
56,Evaluate using GEMS: 2[3 + (5 - 2)^2],24,16,14,36,A,6.EE.A.1,6
57,Simplify the expression: 5(2x - 3) + 4,10x - 11,10x - 15,10x + 1,10x + 7,A,7.EE.A.1,7
58,Identify the coefficient in the term -8y.,y,8,-8,1,C,6.EE.A.2,6
59,Which expression is equivalent to x + x + x + y + y?,3x + 2y,5xy,x^3y^2,3x + y,A,6.EE.A.3,6
60,Evaluate b^2 - 4ac if a=1 b=5 c=6.,1,49,-1,19,A,Algebra Readiness,6
61,Solve: (2/3)x = 12,8,18,36,24,B,6.EE.B.7,6
62,Solve: -3x + 7 = 22,-5,5,-29,15,A,7.EE.B.4,7
63,Solve for w: 4w - 2w = 16,4,8,2,16,B,8.EE.C.7,8
64,"Which inequality represents: """"The bus can hold at most 40 passengers""""?",p < 40,p > 40,p <= 40,p >= 40,C,6.EE.B.8,6
65,Solve: 5x - 3(x - 2) = 12,3,6,4,9,A,8.EE.C.7,8
66,If 3 apples cost $1.50 what is the unit price per apple?,0.3,0.45,0.5,3,C,6.RP.A.2,6
67,A map has a scale of 1 inch = 50 miles. If two cities are 3.5 inches apart how far are they?,150 miles,175 miles,100 miles,53.5 miles,B,7.RP.A.2,7
68,Identify the percent of change from 20 to 25.,20% decrease,25% increase,20% increase,5% increase,B,7.RP.A.3,7
69,Which ratio is equivalent to 4:5?,0.34375,0.513888889,0.680555556,0.85,C,6.RP.A.3,6
70,What is 150% of 40?,60,20,400,50,A,7.RP.A.3,7
71,Which relation represents a function?,"{(1, 2), (1, 3), (2, 4)}","{(0, 5), (1, 5), (2, 5)}","{(3, 1), (3, 2), (3, 3)}","{(4, 1), (4, 2), (5, 6)}",B,8.F.A.1,8
72,Given the function y = 3x - 1 find y when x = -2.,5,-5,-7,7,C,8.F.A.1,8
73,The equation y = kx represents which type of relationship?,Direct Variation (Proportional),Inverse Variation,Quadratic,Exponential,A,7.RP.A.2,7
74,"What is the slope of the line passing through (0,0) and (4,2)?",2,4,1/2,-0.5,C,8.EE.B.5,8
75,Which equation represents a line with a slope of -2 and y-intercept of 5?,y = 5x - 2,y = -2x - 5,y = -2x + 5,y = 2x + 5,C,8.EE.B.6,8
76,Find the area of a triangle with a base of 10 cm and a height of 5 cm.,50 sq cm,25 sq cm,15 sq cm,100 sq cm,B,6.G.A.1,6
77,What is the circumference of a circle with a diameter of 10 cm? (Use pi = 3.14),31.4 cm,15.7 cm,78.5 cm,314 cm,A,7.G.B.4,7
78,Two angles are complementary. If one is 40 degrees what is the other?,140 deg,50 deg,40 deg,90 deg,B,7.G.B.5,7
79,Find the volume of a rectangular prism with length 4 width 3 and height 2.,9,24,12,48,B,6.G.A.2,6
80,What is the sum of the interior angles of a triangle?,360 deg,90 deg,180 deg,270 deg,C,7.G.B.5,7
81,Simplify: x^3 * x^4,x^7,x^12,2x^7,x,A,8.EE.A.1,8
82,Write 0.00045 in scientific notation.,4.5 x 10^4,4.5 x 10^-4,45 x 10^-5,0.45 x 10^-3,B,8.EE.A.3,8
83,Evaluate: sqrt(64),32,4,8,16,C,8.EE.A.2,8
84,Simplify: (2^3)^2,2^5,2^6,2^9,6^2,B,8.EE.A.1,8
85,Any non-zero number raised to the power of 0 is:,0,1,Undefined,The number itself,B,8.EE.A.1,8
86,Find the median of the data set: 3 5 7 9 11.,5,7,9,35,B,6.SP.B.5,6
87,A bag contains 2 red marbles and 3 blue marbles. What is the probability of choosing a red marble?,45659,45691,45693,45721,C,7.SP.C.7,7
88,Find the mean (average) of: 10 20 30.,20,15,60,25,A,6.SP.B.5,6
89,If the probability of an event is 0 the event is:,Certain,Unlikely,Likely,Impossible,D,7.SP.C.5,7
90,What is the range of the data set: 2 8 5 12 3?,10,8,5,12,A,6.SP.B.5,6
91,Calculate the hypotenuse (c) of a right triangle with legs a=3 and b=4.,5,7,6,25,A,8.G.B.7,8
92,A triangle is reflected across the y-axis. This is a type of:,Dilation,Rotation,Translation,Rigid Transformation,D,8.G.A.1,8
93,If a shape is dilated by a scale factor of 2 the new shape is:,Smaller,The same size,Larger,Rotated,C,8.G.A.3,8
94,Check if these lengths form a right triangle: 6 8 10.,No,"Yes, because 6+8 > 10","Yes, because 6^2 + 8^2 = 10^2","No, because it is isosceles",C,8.G.B.6,8
95,Moving a shape 3 units up and 2 units right is called a:,Reflection,Rotation,Translation,Dilation,C,8.G.A.3,8
96,Sarah has $50. She buys a book for $12 and earns $15 babysitting. How much does she have now?,47,53,77,23,B,6.NS.B.3,6
97,A taxi charges $3 flat fee plus $2 per mile. Which expression models the cost for m miles?,3m + 2,2m + 3,5m,6m,B,7.EE.B.4,7
98,The temperature was -5F and dropped 4F. What is the new temperature?,-1 F,-9 F,1 F,9 F,B,7.NS.A.1,7
99,A rectangle has a perimeter of 24 units. If the width is 4 what is the length?,20,8,6,16,B,7.EE.B.4,7
100,You roll a standard 6-sided die. What is the probability of rolling a number greater than 4?,45663,45659,45660,45691,C,7.SP.C.7,7
101,What is the product of 6 and 7?,42,36,48,13,A,3.OA.A.1,3
102,Which equation shows the Commutative Property?,3 x 5 = 5 x 3,3 x 5 = 3 + 5,3 x 1 = 3,3 x 0 = 0,A,3.OA.B.5,3
103,Solve: 24 / 3,6,7,8,9,C,3.OA.A.2,3
104,Round 148 to the nearest 10.,100,140,150,200,C,3.NBT.A.1,3
105,Round 432 to the nearest 100.,400,430,500,450,A,3.NBT.A.1,3
106,Calculate: 500 - 268,232,332,242,168,A,3.NBT.A.2,3
107,What fraction of the shape is shaded if 1 out of 4 parts is colored?,45659,45660,45661,45720,C,3.NF.A.1,3
108,Which fraction is equivalent to 1?,45717,45719,45660,0/3,B,3.NF.A.3,3
109,Compare: 1/4 ___ 1/2,<,>,=,None of these,A,3.NF.A.3,3
110,Find the area of a rectangle with sides 4cm and 5cm.,9 sq cm,20 sq cm,18 sq cm,10 sq cm,B,3.MD.C.7,3
111,What is the perimeter of a square with side length 3 inches?,9 inches,6 inches,12 inches,15 inches,C,3.MD.D.8,3
112,Start time: 3:15. End time: 3:45. How much time passed?,20 mins,45 mins,30 mins,60 mins,C,3.MD.A.1,3
113,Which shape has exactly 4 sides?,Triangle,Pentagon,Quadrilateral,Hexagon,C,3.G.A.1,3
114,Identify the pattern: 2 4 8 16 ...,20,24,32,30,C,3.OA.D.9,3
115,Solve for n: 5 x n = 35,5,6,7,8,C,3.OA.A.4,3
116,Which number is an odd number?,12,24,31,40,C,3.OA.D.9,3
117,What is 900 + 40 + 6 in standard form?,9406,9046,946,964,C,3.NBT.A.2,3
118,A pizza is cut into 8 slices. You eat 3. What fraction is left?,45724,45755,45785,45874,C,3.NF.A.1,3
119,How many minutes are in 2 hours?,60,100,120,24,C,3.MD.A.1,3
120,"Which expression matches: """"4 groups of 3""""?",4 + 3,4 x 3,45750,45750,B,3.OA.A.1,3
121,Solve: 8 x 0,8,0,1,80,B,3.OA.A.1,3
122,Which unit is best to measure the water in a pool?,Milliliters,Liters,Grams,Meters,B,3.MD.A.2,3
123,Is 4/4 equal to 8/8?,Yes,No,Only on Tuesdays,Cannot tell,A,3.NF.A.3,3
124,Break apart 7 x 6 into:,(7 x 3) + (7 x 3),(7 x 2) + (7 x 2),(7 x 1) + (7 x 1),(7 x 5) + (7 x 5),A,3.OA.B.5,3
125,Find the sum: 456 + 123,579,589,569,679,A,3.NBT.A.2,3
126,Which polygon has 5 sides?,Square,Pentagon,Hexagon,Octagon,B,3.G.A.1,3
127,What is the missing number? 18 / ___ = 3,3,6,9,2,B,3.OA.A.4,3
128,If a bar graph bar stops between 4 and 6 what is the value?,4,6,5,10,C,3.MD.B.3,3
129,Estimate the sum: 29 + 32 (Nearest 10),50,60,70,80,B,3.NBT.A.1,3
130,What is 10 x 4?,14,40,400,4,B,3.NBT.A.3,3
131,A square has a perimeter of 20. What is one side length?,4,5,10,2,B,3.MD.D.8,3
132,Which fraction is smaller: 1/8 or 1/3?,45665,45660,They are equal,Depends on the whole,A,3.NF.A.3,3
133,Calculate area: Length=6 Width=3,9,12,18,21,C,3.MD.C.7,3
134,What is 45 x 100?,450,4500,4050,45000,B,4.NBT.B.5,4
135,Which number is prime?,9,15,13,21,C,4.OA.B.4,4
136,Find the factor pairs of 12.,1&12 2&6 3&4,1&12 2&8,1&6 2&6,3&3 4&4,A,4.OA.B.4,4
137,Write 4/100 as a decimal.,0.4,0.04,4,0.44,B,4.NF.C.6,4
138,Compare: 0.5 ___ 0.05,>,<,=,None,A,4.NF.C.7,4
139,Solve: 32 x 4,120,128,136,108,B,4.NBT.B.5,4
140,Solve: 1345 + 289,1634,1524,1624,1534,A,4.NBT.B.4,4
141,What is the value of the 7 in 3724?,7,70,700,7000,C,4.NBT.A.1,4
142,Simplify 4/12 to simplest form.,45694,45660,45661,45748,B,4.NF.A.1,4
143,Add fractions: 2/8 + 3/8,45793,45816,45785,45665,C,4.NF.B.3,4
144,Convert 2 1/3 to an improper fraction.,45780,45841,45811,45691,B,4.NF.B.3,4
145,Which angle is obtuse?,45 degrees,90 degrees,120 degrees,10 degrees,C,4.MD.C.5,4
146,How many degrees are in a right angle?,180,90,45,360,B,4.MD.C.5,4
147,Identify the parallel lines.,Lines that cross at 90 deg,Lines that never cross,Lines that cross once,Curved lines,B,4.G.A.1,4
148,How many lines of symmetry does a square have?,1,2,4,8,C,4.G.A.3,4
149,Solve: 56 / 8,6,8,7,9,C,4.NBT.B.6,4
150,A rectangle has area 24 and width 4. What is the length?,6,8,12,20,A,4.MD.A.3,4
151,Which is a multiple of 6?,15,22,30,32,C,4.OA.B.4,4
152,Subtract: 5/6 - 2/6,36586,45722,45728,45844,B,4.NF.B.3,4
153,Solve: 1200 / 6,20,200,2000,600,B,4.NBT.B.6,4
154,If 1 kg = 1000 g how many grams in 3 kg?,300,3000,30,1003,B,4.MD.A.1,4
155,What type of triangle has all sides equal?,Isosceles,Scalene,Equilateral,Right,C,4.G.A.2,4
156,Decompose 3/4 into a sum of unit fractions.,1/4 + 1/4 + 1/4,1/2 + 1/2,1/3 + 1/1,3/1 + 1/4,A,4.NF.B.3,4
157,Multiply: 5 x 1/3,45792,45672,45780,45811,C,4.NF.B.4,4
158,Which number is 10 times larger than 300?,3000,30,30000,300000,A,4.NBT.A.1,4
159,Estimate: 41 x 28,1200,800,1500,1000,A,4.NBT.B.5,4
160,What is the measure of a straight angle?,90,100,180,360,C,4.MD.C.5,4
161,Which digit is in the ten-thousands place: 456789?,4,5,6,7,B,4.NBT.A.2,4
162,Solve: 4000 - 1500,3500,2500,2000,3000,B,4.NBT.B.4,4
163,Convert 5ft to inches (1ft = 12in),50,60,48,72,B,4.MD.A.1,4
164,Compare: 3/4 ___ 5/8 (Hint: find common denom),<,>,=,?,B,4.NF.A.2,4
165,Describe a ray.,Line with 2 endpoints,Line with 1 endpoint,Line with no endpoints,A dot,B,4.G.A.1,4
166,Find the perimeter of a rectangle 10m by 5m.,15m,30m,50m,20m,B,4.MD.A.3,4
167,Evaluate: 10^3,30,100,1000,300,C,5.NBT.A.2,5
168,Solve: (10 + 2) / 4,3,4,2,6,A,5.OA.A.1,5
169,"Write as a numerical expression: """"Add 8 and 7 then multiply by 2""""",8 + 7 x 2,2 x (8 + 7),(8 + 7) / 2,2 + 8 x 7,B,5.OA.A.2,5
170,Multiply: 2.5 x 4,10,100,8.5,6.5,A,5.NBT.B.7,5
171,Round 14.567 to the nearest tenth.,14.5,14.6,15,14.57,B,5.NBT.A.4,5
172,What is the volume of a cube with side 3?,9,18,27,12,C,5.MD.C.5,5
173,Add: 1/2 + 1/3 (Hint: Common Denominator),45693,45783,45663,45662,B,5.NF.A.1,5
174,Subtract: 3.5 - 1.2,2.3,4.7,2.7,1.3,A,5.NBT.B.7,5
175,Identify the coordinate pair for the Origin.,(1 1),(0 0),(10 10),(0 1),B,5.G.A.1,5
176,Move 3 units right and 2 units up. What is the point?,(2 3),(3 2),(3 0),(0 2),B,5.G.A.1,5
177,Which is a quadrilateral?,Triangle,Circle,Trapezoid,Pentagon,C,5.G.B.3,5
178,Multiply fractions: 2/3 x 3/4,45784,6/12 (or 1/2),45815,45878,B,5.NF.B.4,5
179,Solve: 12 / 0.5,6,24,60,12.5,B,5.NBT.B.7,5
180,Convert 300 cm to meters (1m = 100cm),3m,30m,0.3m,3000m,A,5.MD.A.1,5
181,Solve: 4 + 2 x 6,36,16,12,20,B,5.OA.A.1,5
182,What is 1/2 divided by 4?,2,45665,8,45663,B,5.NF.B.7,5
